"Localidad","Dia","HoraInt","Homicidios"
"Kennedy","miércoles","[20-24)",40
"Kennedy","viernes","[4-8)",25
"Kennedy","domingo","[0-4)",32
"Kennedy","domingo","[16-20)",21
"Kennedy","sábado","[0-4)",99
"Kennedy","martes","[20-24)",36
"Kennedy","miércoles","[4-8)",15
"Kennedy","jueves","[4-8)",15
"Kennedy","miércoles","[12- 16)",16
"Kennedy","viernes","[8-12)",17
"Kennedy","viernes","[20-24)",63
"Kennedy","sábado","[4-8)",41
"Kennedy","domingo","[4-8)",14
"Kennedy","jueves","[16-20)",28
"Kennedy","viernes","[0-4)",40
"Kennedy","miércoles","[0-4)",21
"Kennedy","domingo","[20-24)",27
"Kennedy","lunes","[0-4)",10
"Kennedy","viernes","[16-20)",39
"Kennedy","sábado","[20-24)",38
"Kennedy","jueves","[0-4)",19
"Kennedy","miércoles","[16-20)",33
"Kennedy","lunes","[4-8)",20
"Kennedy","martes","[4-8)",10
"Kennedy","jueves","[20-24)",40
"Kennedy","jueves","[12- 16)",16
"Kennedy","sábado","[16-20)",39
"Kennedy","lunes","[20-24)",35
"Kennedy","martes","[8-12)",19
"Kennedy","lunes","[16-20)",37
"Kennedy","sábado","[12- 16)",17
"Kennedy","martes","[16-20)",23
"Kennedy","viernes","[12- 16)",19
"Kennedy","sábado","[8-12)",25
"Kennedy","martes","[12- 16)",20
"Kennedy","miércoles","[8-12)",13
"Kennedy","martes","[0-4)",19
"Kennedy","lunes","[8-12)",12
"Kennedy","domingo","[12- 16)",13
"Kennedy","domingo","[8-12)",15
